ts,batch,event,file,rows_before,rows_after,detail
2026-04-06 06:04:08 UK,INJ,FETCH_START,,0,0,date=2026-04-06
2026-04-06 06:34:28 UK,INJ,FETCH_OK,,0,0,players=265 inactive=0 changes=0
2026-04-06 08:36:36 UK,INJ,FETCH_START,,0,0,date=2026-04-06
2026-04-06 08:37:02 UK,INJ,FETCH_OK,,0,0,players=290 inactive=0 changes=0
2026-04-06 11:47:26 UK,INJ,FETCH_START,,0,0,date=2026-04-06
2026-04-06 12:39:23 UK,INJ,FETCH_OK,,0,0,players=263 inactive=0 changes=0
2026-04-06 12:58:31 UK,INJ,FETCH_START,,0,0,date=2026-04-06
2026-04-06 12:58:52 UK,INJ,FETCH_OK,,0,0,players=290 inactive=0 changes=0
2026-04-06 13:13:52 UK,INJ,FETCH_START,,0,0,date=2026-04-06
2026-04-06 13:29:12 UK,INJ,FETCH_START,,0,0,date=2026-04-06
2026-04-06 13:44:33 UK,INJ,FETCH_START,,0,0,date=2026-04-06
2026-04-06 13:59:53 UK,INJ,FETCH_START,,0,0,date=2026-04-06
2026-04-06 14:15:15 UK,INJ,FETCH_START,,0,0,date=2026-04-06
2026-04-06 14:30:34 UK,INJ,FETCH_START,,0,0,date=2026-04-06
2026-04-06 14:45:54 UK,INJ,FETCH_START,,0,0,date=2026-04-06
2026-04-06 15:01:15 UK,INJ,FETCH_START,,0,0,date=2026-04-06
2026-04-06 15:16:35 UK,INJ,FETCH_START,,0,0,date=2026-04-06
2026-04-06 15:31:54 UK,INJ,FETCH_START,,0,0,date=2026-04-06
2026-04-06 15:47:15 UK,INJ,FETCH_START,,0,0,date=2026-04-06
2026-04-06 16:02:40 UK,INJ,FETCH_START,,0,0,date=2026-04-06
2026-04-06 16:18:02 UK,INJ,FETCH_START,,0,0,date=2026-04-06
2026-04-06 16:33:24 UK,INJ,FETCH_START,,0,0,date=2026-04-06
2026-04-06 16:48:44 UK,INJ,FETCH_START,,0,0,date=2026-04-06
2026-04-06 17:04:05 UK,INJ,FETCH_START,,0,0,date=2026-04-06
2026-04-06 17:19:16 UK,INJ,FETCH_START,,0,0,date=2026-04-06
2026-04-06 17:34:28 UK,INJ,FETCH_START,,0,0,date=2026-04-06
2026-04-06 17:49:36 UK,INJ,FETCH_START,,0,0,date=2026-04-06
2026-04-06 18:04:47 UK,INJ,FETCH_START,,0,0,date=2026-04-06
2026-04-06 18:19:57 UK,INJ,FETCH_START,,0,0,date=2026-04-06
2026-04-06 18:35:08 UK,INJ,FETCH_START,,0,0,date=2026-04-06
2026-04-06 18:50:18 UK,INJ,FETCH_START,,0,0,date=2026-04-06
2026-04-06 19:05:28 UK,INJ,FETCH_START,,0,0,date=2026-04-06
2026-04-06 19:20:39 UK,INJ,FETCH_START,,0,0,date=2026-04-06
2026-04-06 19:35:50 UK,INJ,FETCH_START,,0,0,date=2026-04-06
2026-04-06 19:51:01 UK,INJ,FETCH_START,,0,0,date=2026-04-06
2026-04-06 20:06:13 UK,INJ,FETCH_START,,0,0,date=2026-04-06
2026-04-06 20:21:24 UK,INJ,FETCH_START,,0,0,date=2026-04-06
2026-04-06 20:36:34 UK,INJ,FETCH_START,,0,0,date=2026-04-06
2026-04-06 20:51:44 UK,INJ,FETCH_START,,0,0,date=2026-04-06
2026-04-06 21:06:54 UK,INJ,FETCH_START,,0,0,date=2026-04-06
2026-04-06 21:22:06 UK,INJ,FETCH_START,,0,0,date=2026-04-06
2026-04-06 21:37:19 UK,INJ,FETCH_START,,0,0,date=2026-04-06
2026-04-06 21:45:33 UK,B0,BATCH_START,,0,0,grading_date=2026-04-05
2026-04-06 21:45:48 UK,B0,BOXSCORES_FETCHED,,0,0,"234 rows, 290 players"
2026-04-06 21:46:07 UK,B0,BATCH_SUMMARY,,0,0,graded=246 wins=112 losses=112 dnp=22
2026-04-06 21:46:10 UK,B0,FILE_STATE_BEFORE_APPEND,nba_gamelogs_2025_26.csv,25085,25085,
2026-04-06 21:47:33 UK,B0,INTEGRITY_OK,nba_gamelogs_2025_26.csv,25085,25330,
2026-04-06 21:47:57 UK,B0,ROLLING_CROSSCHECK_FAIL,Jayson Tatum,0,0,"L30 drift 3.42pts (stored 24.8, fresh 21.4)"
2026-04-06 21:47:57 UK,B0,ROLLING_CROSSCHECK_FAIL,Max Strus,0,0,"L30 drift 2.35pts (stored 11.4, fresh 13.8)"
2026-04-06 21:47:58 UK,B0,ROLLING_CROSSCHECK_FAIL,Jayson Tatum,0,0,"L30 drift 3.42pts (stored 24.8, fresh 21.4)"
2026-04-06 21:47:58 UK,B0,ROLLING_CROSSCHECK_FAIL,Max Strus,0,0,"L30 drift 2.35pts (stored 11.4, fresh 13.8)"
2026-04-06 21:52:31 UK,INJ,FETCH_START,,0,0,date=2026-04-06
2026-04-06 22:07:44 UK,INJ,FETCH_START,,0,0,date=2026-04-06
2026-04-06 22:22:57 UK,INJ,FETCH_START,,0,0,date=2026-04-06
2026-04-06 22:23:45 UK,B0,BATCH_COMPLETE,,0,0,grade_date=2026-04-05
2026-04-06 22:38:09 UK,INJ,FETCH_START,,0,0,date=2026-04-06
2026-04-06 22:38:11 UK,B5,BATCH_START,,0,0,date=2026-04-06
2026-04-06 22:53:19 UK,INJ,FETCH_START,,0,0,date=2026-04-06
2026-04-06 22:57:37 UK,B5,BATCH_START,,0,0,date=2026-04-06
2026-04-06 22:59:49 UK,B5,BATCH_START,,0,0,date=2026-04-06
2026-04-06 23:00:32 UK,B5,PROPS_FETCHED,,0,0,61 props
2026-04-06 23:08:30 UK,INJ,FETCH_START,,0,0,date=2026-04-06
2026-04-06 23:11:43 UK,B5,BATCH_START,,0,0,date=2026-04-06
2026-04-06 23:11:57 UK,B5,PROPS_FETCHED,,0,0,61 props
2026-04-06 23:11:58 UK,B5,PREDICTIONS,,0,0,"61 plays, skipped={'no_player': 0, 'no_history': 0, 'no_feats': 0}"
